Input File: ./input/coarse.txt
hash-workers, data-workers, hashTime, groupTime, compareTreeTime, totalExecutionTime
1, 1, 0.02494688, N/A, 0.00072575, N/A
2, 1, 0.01523612, N/A, 0.00051433, N/A
2, 2, 0.01348217, N/A, 0.00042888, N/A
4, 1, 0.01080196, N/A, 0.00124138, N/A
4, 2, 0.01147887, N/A, 0.00123887, N/A
4, 4, 0.01185929, N/A, 0.00046146, N/A
8, 1, 0.01026350, N/A, 0.00121338, N/A
8, 2, 0.00512796, N/A, 0.00043204, N/A
8, 4, 0.00985321, N/A, 0.00119646, N/A
8, 8, 0.01033713, N/A, 0.00115525, N/A
16, 1, 0.01024046, N/A, 0.00114025, N/A
16, 2, 0.00969733, N/A, 0.00131463, N/A
16, 4, 0.00998221, N/A, 0.00124104, N/A
16, 8, 0.00958812, N/A, 0.00134854, N/A
16, 16, 0.01036400, N/A, 0.00045992, N/A
32, 1, 0.01038833, N/A, 0.00130712, N/A
32, 2, 0.01032842, N/A, 0.00046608, N/A
32, 4, 0.01082025, N/A, 0.00130013, N/A
32, 8, 0.01305500, N/A, 0.00125563, N/A
32, 16, 0.01090279, N/A, 0.00093288, N/A
32, 32, 0.00962758, N/A, 0.00139450, N/A
64, 1, 0.01021029, N/A, 0.00120658, N/A
64, 2, 0.01163896, N/A, 0.00047767, N/A
64, 4, 0.01011133, N/A, 0.00124258, N/A
64, 8, 0.01154921, N/A, 0.00045887, N/A
64, 16, 0.01079671, N/A, 0.00231950, N/A
64, 32, 0.01052854, N/A, 0.00116162, N/A
64, 64, 0.01027942, N/A, 0.00135804, N/A
