comp-workers, implementation, hashTime, groupTime, compareTreeTime, totalExecutionTime
1, Unknown, 0.02385475, N/A, 0.00057900, N/A
2, Unknown, 0.02324983, N/A, 0.00033346, N/A
4, Unknown, 0.02188262, N/A, 0.00026146, N/A
6, Unknown, 0.02257775, N/A, 0.00024288, N/A
7, Unknown, 0.02295908, N/A, 0.00042671, N/A
8, Unknown, 0.02395642, N/A, 0.00278529, N/A
9, Unknown, 0.02179275, N/A, 0.00022721, N/A
10, Unknown, 0.02245454, N/A, 0.00054133, N/A
12, Unknown, 0.02131408, N/A, 0.00021196, N/A
14, Unknown, 0.02400262, N/A, 0.00043604, N/A
16, Unknown, 0.02196704, N/A, 0.00024308, N/A
18, Unknown, 0.02509700, N/A, 0.00136396, N/A
20, Unknown, 0.02281225, N/A, 0.00059437, N/A
24, Unknown, 0.02380150, N/A, 0.00138379, N/A
28, Unknown, 0.02059071, N/A, 0.00024963, N/A
32, Unknown, 0.02290371, N/A, 0.00022996, N/A
36, Unknown, 0.02529329, N/A, 0.00077021, N/A
48, Unknown, 0.02402917, N/A, 0.00226400, N/A
56, Unknown, 0.02269621, N/A, 0.00025721, N/A
64, Unknown, 0.02159646, N/A, 0.00027312, N/A
100, Unknown, 0.02155621, N/A, 0.00035492, N/A
128, Unknown, 0.02294100, N/A, 0.00075346, N/A
