Input File: simple.txt
hash-workers, data-workers, hashTime, groupTime, compareTreeTime, totalExecutionTime
1, 1, 0.00001092, N/A, 0.00000388, N/A
2, 1, 0.00004617, N/A, 0.00001067, N/A
2, 2, 0.00002812, N/A, 0.00000375, N/A
4, 1, 0.00003892, N/A, 0.00000546, N/A
4, 2, 0.00005725, N/A, 0.00000425, N/A
4, 4, 0.00003738, N/A, 0.00000517, N/A
8, 1, 0.00005208, N/A, 0.00000504, N/A
8, 2, 0.00007371, N/A, 0.00000408, N/A
8, 4, 0.00006383, N/A, 0.00000383, N/A
8, 8, 0.00004004, N/A, 0.00000525, N/A
16, 1, 0.00008225, N/A, 0.00000471, N/A
16, 2, 0.00003775, N/A, 0.00000404, N/A
16, 4, 0.00009125, N/A, 0.00000379, N/A
16, 8, 0.00009283, N/A, 0.00000392, N/A
16, 16, 0.00004342, N/A, 0.00000612, N/A
32, 1, 0.00010858, N/A, 0.00000575, N/A
32, 2, 0.00006975, N/A, 0.00000525, N/A
32, 4, 0.00006121, N/A, 0.00000529, N/A
32, 8, 0.00004875, N/A, 0.00000379, N/A
32, 16, 0.00004929, N/A, 0.00000379, N/A
32, 32, 0.00019742, N/A, 0.00000296, N/A
64, 1, 0.00011133, N/A, 0.00000542, N/A
64, 2, 0.00013592, N/A, 0.00000400, N/A
64, 4, 0.00009917, N/A, 0.00000400, N/A
64, 8, 0.00016425, N/A, 0.00000483, N/A
64, 16, 0.00011654, N/A, 0.00000363, N/A
64, 32, 0.00011746, N/A, 0.00000421, N/A
64, 64, 0.00010542, N/A, 0.00000658, N/A
